订单号,日期,渠道,商品ID,商品名称,单价,数量,金额,用户ID,收货省份,订单状态
DD202401238,2024/5/9,抖音,P015,华为平板 matepad 11,2199,-3.0,-6597.0,U0095,辽宁,已退款
DD202401804,2024-07-07,拼多多,P045,金龙鱼食用油5L,89.9,1.0,89.9,U0060,甘肃,已完成
DD202401915,2024-01-04,抖音,P044,良品铺子零食大礼包,139,1.0,139.0,U0028,浙江,已完成
DD202400604,2024-08-07,拼多多,,雅诗兰黛 小棕瓶,950,-3.0,-2850.0,U0151,湖南,已退款
DD202401497,2024-11-05,京东,P034,雅诗兰黛小棕瓶,950,5.0,4750.0,U0192,,已发货
DD202400711,2024-03-15,天猫,P026,小米电视 65寸,2999,,,U0048,浙江,已完成
DD202400874,2024-02-22,京东,P037,海飞丝 洗发水,59.9,4.0,239.6,U0042,江苏,已完成
DD202401868,2024-01-22,京东,P015,华为平板 MatePad 11 ,¥2199,-2.0,-4398.0,U0150,江西,已退款
DD202400552,2024-11-02,天猫,P043,星巴克 咖啡豆,128,0.0,,U0043,甘肃,已完成
DD202400234,20240212,拼多多,P003,华为 Mate 60 Pro,¥6999,5.0,34995.0,U0111,河北,已发货
DD202400403,2024-03-31,天猫,P045,金龙鱼 食用油5L ,¥89.9,5.0,449.5,U0175,浙江,已完成
DD202401357,,拼多多,P019,海尔 10kg 滚筒洗衣机,"1,899",4.0,7596.0,U0090,广东,已完成
DD202400435,2024-11-12,天猫,P022,苏泊尔电饭煲,299,4.0,1196.0,U0152,江西,待发货
DD202402398,2024-04-09,抖音,P031,波司登 羽绒服,1299,4.0,5196.0,U0163,湖南,已完成
DD202402968,2024-08-04,天猫,P028,李宁 跑步鞋,399,-2.0,-798.0,U0029,浙江,已退款
DD202401881,2024-07-21,天猫,P003,华为 Mate 60 Pro,¥6999,3.0,20997.0,U0180,广西,已完成
DD202401322,2024-04-18,微信小程序,P007,AirPods Pro 2,1899,2.0,3798.0,U0035,黑龙江,已完成
DD202402414,2024-09-03,拼多多,P026,小米电视65寸,2999,4.0,11996.0,U0186,青海,已完成
DD202401916,2024-02-27,京东,P050,宜家 收纳箱,69,4.0,276.0,U0180,浙江,已取消
DD202401870,2024/12/4,天猫,P006,Redmi K70,"2,499",,,U0067,新疆,已完成
DD202401834,2024-11-04,拼多多,P036,云南白药 牙膏,39.9,3.0,119.69999999999999,U0180,安徽,已完成
DD202400629,2024-11-26,天猫,P020,格力 电风扇,199,0.0,,U0089,四川,已取消
DD202402314,2024-12-17,京东,P020,格力 电风扇,¥199,2.0,398.0,U0080,宁夏,已完成
DD202400549,2024-10-08,京东,P011,罗技 MX Master 3S 鼠标,,3.0,,U0072,甘肃,已完成
DD202402230,2024-03-02,天猫,P022,苏泊尔电饭煲 ,299,2.0,598.0,U0171,山西,已完成
DD202402563,2024-03-04,拼多多,P015,华为平板 MatePad 11,2199,5.0,10995.0,U0145,青海,待发货
DD202402082,2024-12-22,京东,P049,苏泊尔 炒锅,¥159,-1.0,-159.0,U0019,湖南,已退款
DD202400278,2024-04-22,天猫,P035,欧莱雅洗面奶,¥129,2.0,258.0,U0131,山西,已完成
DD202400094,2024-04-02,京东,P038,全棉时代洗脸巾,49.9,2.0,99.8,U0123,陕西,已完成
DD202400987,2024/7/17,抖音,P012,机械键盘87键,199,2.0,398.0,U0178,上海,已取消
DD202401633,2024-02-01,抖音,P026,小米电视 65寸 ,2999,1.0,2999.0,U0008,河南,待发货
DD202400650,2024-12-23,拼多多,P049,苏泊尔 炒锅,159,5.0,795.0,U0160,云南,已完成
DD202400135,2024-10-02,天猫,P035,欧莱雅 洗面奶,129,3.0,387.0,U0090,河南,已完成
DD202400353,2024-07-01,抖音,P028,李宁 跑步鞋,399,-3.0,-1197.0,U0160,甘肃,已退款
DD202400491,2024-09-19,天猫,P032,太平鸟 牛仔裤,¥259,3.0,777.0,U0175,浙江,已完成
DD202401580,2024-10-20,微信小程序,P030,南极人 棉袜5双装 ,¥29.9,5.0,149.5,U0189,江苏,已发货
DD202400721,2024-04-15,天猫,P041,蒙牛 纯牛奶24盒,69.9,-2.0,-139.8,U0156,湖南,已退款
DD202402545,2024-12-13,京东,P015,华为平板 MatePad 11,2199,5.0,10995.0,U0015,广西,已发货
DD202402025,20241208,天猫,P036,云南白药 牙膏,¥39.9,5.0,199.5,U0045,湖南,已完成
DD202400421,2024-06-19,天猫,P009,小米手环8 ,¥249,4.0,,U0003,江苏,已完成
DD202402377,2024-11-11,拼多多,P041,蒙牛 纯牛奶24盒 ,69.9,2.0,139.8,U0073,山东,已完成
DD202400701,2024/6/29,微信小程序,P031,波司登 羽绒服,1299,3.0,3897.0,U0035,黑龙江,已完成
DD202402401,2024-07-05,天猫,P009,小米手环8,¥249,4.0,996.0,U0129,陕西,已完成
DD202400342,2024-03-01,天猫,P041,蒙牛 纯牛奶24盒,69.9,1.0,69.9,U0112,湖南,已完成
DD202400990,2024/9/30,京东,P020,格力 电风扇 ,¥199,3.0,597.0,U0001,甘肃,已发货
DD202400642,2024/1/4,抖音,P002,iPhone 15 Pro 256G,8999,5.0,44995.0,U0029,甘肃,已发货
DD202402880,2024-10-14,拼多多,P016,得力A4打印纸,29.9,2.0,59.8,U0003,重庆,已完成
DD202401189,2024-12-13,京东,P032,太平鸟 牛仔裤,259,2.0,518.0,U0105,广东,已发货
DD202401883,2024-12-13,天猫,P040,三只松鼠 坚果礼盒,99,3.0,297.0,U0021,黑龙江,已发货
DD202401352,2024-08-19,微信小程序,P040,三只松鼠坚果礼盒,¥99,0.0,,U0141,四川,已发货
DD202401428,2024-11-04,拼多多,P049,苏泊尔 炒锅,159,4.0,636.0,U0024,辽宁,已完成
DD202400566,20241207,京东,P003,华为 Mate 60 Pro,6999,5.0,34995.0,U0028,黑龙江,已发货
DD202400584,2024-09-01,拼多多,P014,联想小新 Pro16 笔记本,,2.0,,U0089,重庆,已发货
DD202400621,2024/1/27,天猫,P012,机械键盘 87键,¥199,3.0,597.0,U0119,湖北,已完成
DD202401426,2024-05-17,京东,P026,小米电视65寸,"2,999",5.0,14995.0,U0194,宁夏,已完成
DD202401602,2024-10-12,京东,P026,小米电视 65寸,2999,2.0,5998.0,U0146,天津,待发货
DD202402114,2024-11-14,京东,P023,九阳破壁机,399,-1.0,-399.0,U0063,上海,已退款
DD202402084,2024-04-17,天猫,P048,公牛 插线板,49.9,2.0,99.8,U0074,海南,已完成
DD202401856,2024-02-27,京东,P016,得力 a4 打印纸,¥29.9,4.0,119.6,U0118,湖南,已发货
DD202400906,2024-11-19,天猫,P002,iPhone 15 Pro 256G,"8,999",4.0,35996.0,U0089,山东,已发货
DD202401391,2024-06-04,天猫,P001,iPhone15128G,5999,1.0,5999.0,U0122,浙江,已取消
DD202401534,2024-01-29,微信小程序,P015,华为平板 MatePad 11,"2,199",3.0,6597.0,U0073,山西,已完成
DD202401132,20240219,天猫,P044,良品铺子零食大礼包,139,5.0,695.0,U0158,浙江,已完成
DD202400067,2024-03-31,天猫,P036,云南白药牙膏,39.9,5.0,199.5,U0200,贵州,已完成
DD202400203,20240719,抖音,P040,三只松鼠 坚果礼盒,99,4.0,396.0,U0124,广西,已完成
DD202402438,2024-07-30,京东,P033,兰蔻 小黑瓶精华 ,¥760,1.0,760.0,U0054,江苏,已发货
DD202400507,2024-04-18,天猫,P046,网易严选 保温杯 ,99,4.0,396.0,U0085,江苏,已发货
DD202401268,2024-07-11,天猫,P031,波司登 羽绒服 ,"1,299",1.0,1299.0,U0144,四川,已完成
DD202402664,20240707,拼多多,P045,金龙鱼 食用油5L,89.9,2.0,179.8,U0108,云南,已发货
DD202402122,2024/9/6,拼多多,P017,得力 文件夹,,3.0,,U0183,辽宁,已完成
DD202402040,2024-11-08,天猫,P024,戴森 V12 吸尘器,3290,3.0,9870.0,U0192,甘肃,已完成
DD202400044,20241117,天猫,P009,小米手环8,249,2.0,498.0,U0025,湖北,待发货
DD202400772,2024-12-04,京东,P001,iPhone 15 128G,,2.0,,U0023,广西,已完成
DD202400244,2024-09-21,拼多多,P046,网易严选 保温杯,99,5.0,495.0,U0127,内蒙古,已发货
DD202400840,2024-12-09,拼多多,P003,华为 Mate 60 Pro,,2.0,,U0194,广西,已完成
DD202400073,2024-02-20,京东,P043,星巴克 咖啡豆,¥128,3.0,384.0,U0025,内蒙古,已完成
DD202402167,2024/5/28,天猫,P020,格力 电风扇,199,0.0,,U0082,河南,已取消
DD202402848,2024-05-12,拼多多,P021,米家扫地机器人,¥1599,2.0,3198.0,U0175,四川,已发货
DD202400143,2024-04-19,京东,P023,九阳破壁机,¥399,5.0,1995.0,U0143,山西,已取消
DD202400332,20240726,,P050,宜家 收纳箱,69,3.0,207.0,U0127,甘肃,已发货
DD202402078,2024/2/11,京东,P010,小米 充电宝20000mAh,¥129,4.0,516.0,U0177,新疆,已完成
DD202400876,2024-09-02,微信小程序,P045,金龙鱼 食用油5L,89.9,2.0,179.8,U0160,江西,待发货
DD202400074,20240223,拼多多,P041,蒙牛 纯牛奶24盒,69.9,5.0,349.5,U0035,河南,已取消
DD202401625,2024-07-20,京东,P028,李宁 跑步鞋,399,2.0,798.0,U0050,山东,已发货
DD202400232,2024-01-12,京东,P005,荣耀 Magic6,3999,0.0,,U0197,辽宁,已完成
DD202401443,2024-01-07,京东,P021,米家扫地机器人,1599,0.0,,U0126,河北,已退款
DD202401698,2024-10-22,京东,P009,小米手环8,249,4.0,996.0,U0064,广西,已完成
DD202400298,2024-01-26,抖音,P041,蒙牛 纯牛奶24盒,69.9,5.0,349.5,U0094,贵州,已完成
DD202400417,2024-05-10,拼多多,P007,AirPods Pro 2,¥1899,4.0,7596.0,U0103,重庆,已发货
DD202401211,2024-02-01,京东,P042,农夫山泉 矿泉水,¥36,4.0,144.0,U0014,山西,待发货
DD202400193,2024-02-21,微信小程序,P023,九阳破壁机,399,,,U0153,湖北,已完成
DD202400742,2024-01-27,京东,P010,小米 充电宝20000mAh,¥129,2.0,258.0,U0179,内蒙古,已取消
DD202402630,2024-02-11,拼多多,P045,金龙鱼 食用油5L ,89.9,5.0,449.5,U0126,天津,已完成
DD202402342,,抖音,P029,阿迪达斯 运动外套,¥599,4.0,2396.0,U0138,海南,已完成
DD202401831,2024-07-31,拼多多,P043,星巴克 咖啡豆,128,3.0,384.0,U0023,江苏,已完成
DD202401591,2024-05-30,天猫,P046,网易严选 保温杯,99,-2.0,-198.0,U0126,湖南,已退款
DD202401747,2024-05-09,抖音,P050,宜家 收纳箱,69,1.0,69.0,U0161,湖北,已完成
DD202400097,2024-05-23,天猫,P038,全棉时代 洗脸巾,49.9,3.0,149.7,U0116,新疆,已完成
DD202401198,2024/11/1,京东,P002,iphone 15 pro 256g,"8,999",-1.0,-8999.0,U0122,海南,已退款
DD202402678,2024-05-18,京东,P034,雅诗兰黛 小棕瓶,950,2.0,1900.0,U0119,河南,已完成
DD202402650,20240902,抖音,P026,小米电视 65寸 ,2999,2.0,5998.0,U0177,山西,已完成
DD202401751,2024/11/5,天猫,P039,完美日记 口红,89,2.0,178.0,U0002,辽宁,已完成
DD202402986,2024-03-11,抖音,P041,蒙牛 纯牛奶24盒 ,69.9,3.0,209.70000000000002,U0156,青海,待发货
DD202400851,2024-10-15,天猫,P012,机械键盘 87键,,5.0,,U0083,黑龙江,已完成
DD202401677,2024-05-18,微信小程序,P027,优衣库 圆领T恤 ,79,5.0,395.0,U0042,福建,已取消
DD202402080,2024-12-09,京东,P035,欧莱雅 洗面奶,129,-3.0,-387.0,U0048,江苏,已退款
DD202402996,2024-01-25,天猫,P047,全棉时代 浴巾,¥79,5.0,395.0,U0138,河南,已取消
DD202402259,2024-12-22,天猫,P048,公牛 插线板,49.9,4.0,199.6,U0129,北京,已完成
DD202402752,2024-04-16,天猫,P022,苏泊尔电饭煲,299,4.0,1196.0,U0026,吉林,已发货
DD202400198,2024-08-02,微信小程序,P017,得力 文件夹,15.9,2.0,31.8,U0109,内蒙古,已完成
DD202402879,2024-08-06,天猫,P043,星巴克咖啡豆,,4.0,,U0018,福建,已发货
DD202401468,20241017,抖音,P040,三只松鼠 坚果礼盒,99,4.0,396.0,U0048,山西,已完成
DD202401132,20240219,天猫,P044,良品铺子零食大礼包,139,5.0,695.0,U0158,浙江,已完成
DD202400899,20240920,拼多多,P015,华为平板 MatePad 11,¥2199,4.0,8796.0,U0030,浙江,已取消
DD202402463,2024-02-26,天猫,P033,兰蔻 小黑瓶精华,¥760,1.0,760.0,U0180,青海,已取消
DD202400979,2024-03-17,微信小程序,P009,小米手环8,¥249,2.0,498.0,U0101,江西,已完成
DD202402815,2024-10-17,京东,P006,Redmi K70,"2,499",3.0,7497.0,U0163,内蒙古,已完成
DD202401190,2024-02-26,京东,P049,苏泊尔炒锅,159,,,U0184,广东,已完成
DD202400472,2024-10-19,天猫,P021,米家扫地机器人 ,¥1599,-2.0,-3198.0,U0011,山西,已退款
DD202400849,2024-03-30,拼多多,P028,李宁 跑步鞋,399,5.0,1995.0,U0102,四川,已完成
DD202401962,2024-04-06,拼多多,P034,雅诗兰黛 小棕瓶,¥950,3.0,2850.0,U0047,浙江,已取消
DD202400822,2024-03-08,天猫,P012,机械键盘 87键,199,-1.0,,U0196,江苏,已退款
DD202402347,2024/10/26,京东,P048,公牛 插线板,49.9,2.0,99.8,U0159,河南,已完成
DD202402129,2024/1/6,微信小程序,P047,全棉时代 浴巾,¥79,4.0,316.0,U0063,青海,已发货
DD202401487,2024-07-20,天猫,P047,全棉时代 浴巾,¥79,1.0,79.0,U0119,内蒙古,已完成
DD202400012,2024-02-28,天猫,P036,云南白药 牙膏,39.9,-1.0,-39.9,U0138,内蒙古,已退款
DD202401886,2024-05-05,天猫,P017,得力 文件夹,15.9,1.0,15.9,U0008,内蒙古,已发货
DD202401246,2024-03-01,京东,P007,AirPods Pro 2,"1,899",4.0,7596.0,U0188,内蒙古,待发货
DD202401550,2024-04-14,,P010,小米 充电宝20000mAh,¥129,5.0,645.0,U0040,新疆,已完成
DD202402537,2024/2/19,天猫,P023,九阳破壁机,¥399,1.0,399.0,U0159,上海,已取消
DD202400994,2024-02-05,抖音,P039,完美日记 口红,89,3.0,267.0,U0191,海南,已完成
DD202401626,2024-05-19,抖音,P018,美的1.5匹空调,"2,799",5.0,13995.0,U0074,海南,已取消
DD202402208,20240413,京东,P003,华为 Mate 60 Pro ,6999,3.0,20997.0,U0013,新疆,已取消
DD202400728,2024/8/16,拼多多,P008,索尼 WH-1000XM5 耳机,"2,399",2.0,4798.0,U0138,海南,已完成
DD202402457,2024-11-12,微信小程序,P015,华为平板 MatePad 11,2199,1.0,2199.0,U0089,天津,已完成
DD202401060,2024-10-18,京东,P028,李宁 跑步鞋,¥399,0.0,,U0099,天津,已完成
DD202400243,2024-08-02,天猫,P045,金龙鱼 食用油5l,89.9,5.0,449.5,U0031,云南,已完成
DD202402798,2024/4/30,微信小程序,P033,兰蔻 小黑瓶精华,760,4.0,3040.0,U0140,山西,待发货
DD202402328,2024/4/13,,P010,小米 充电宝20000mAh,129,2.0,258.0,U0155,江西,已完成
DD202402194,2024-12-23,拼多多,P011,罗技 MX Master 3S 鼠标,699,4.0,2796.0,U0093,内蒙古,已完成
DD202401597,2024-01-07,天猫,P004,小米 14 12+256G,4299,4.0,17196.0,U0036,内蒙古,已完成
DD202401055,2024/6/22,京东,P014,联想小新 pro16 笔记本,,3.0,,U0185,湖南,已完成
DD202401064,2024-06-16,天猫,P018,美的1.5匹空调,2799,2.0,5598.0,U0145,山东,待发货
DD202400336,2024-10-31,京东,P007,AirPods Pro 2,¥1899,-1.0,-1899.0,U0062,重庆,已退款
DD202401985,2024-03-11,拼多多,P046,网易严选 保温杯,¥99,3.0,297.0,U0057,安徽,已取消
DD202402151,2024-12-06,天猫,P039,完美日记口红,89,5.0,445.0,U0188,山东,已取消
DD202400672,2024-05-22,京东,P029,阿迪达斯 运动外套,599,1.0,599.0,U0187,安徽,已完成
DD202400010,2024-11-11,京东,P031,波司登 羽绒服,1299,2.0,2598.0,U0070,江西,已完成
DD202402289,2024-04-23,天猫,P031,波司登 羽绒服 ,¥1299,4.0,5196.0,U0151,海南,已完成
DD202400848,2024-12-11,天猫,P006,Redmi K70,¥2499,1.0,2499.0,U0080,黑龙江,已完成
DD202401462,2024-03-10,微信小程序,P008,索尼 WH-1000XM5 耳机,¥2399,-1.0,-2399.0,U0148,黑龙江,已退款
DD202402141,2024-06-06,拼多多,P004,小米1412+256G,4299,0.0,,U0044,福建,已取消
DD202401242,2024-12-12,天猫,P005,荣耀 Magic6 ,3999,1.0,3999.0,U0050,海南,待发货
DD202402215,2024/2/9,天猫,P039,完美日记口红,¥89,3.0,267.0,U0091,陕西,已完成
DD202401270,2024-04-04,天猫,P023,九阳破壁机,399,3.0,1197.0,U0125,浙江,已完成
DD202400777,20240701,京东,P035,欧莱雅洗面奶,129,1.0,129.0,U0078,云南,已完成
DD202401830,2024-04-27,拼多多,P022,苏泊尔电饭煲,¥299,4.0,1196.0,U0087,甘肃,已完成
DD202402111,2024-11-01,微信小程序,P050,宜家 收纳箱,69,3.0,207.0,U0040,天津,已完成
DD202401640,2024-07-25,抖音,P020,格力 电风扇,199,2.0,398.0,U0153,新疆,已完成
DD202401367,2024/10/10,京东,P029,阿迪达斯 运动外套,599,5.0,1497.5,U0175,陕西,已完成
DD202400031,2024-12-21,抖音,P011,罗技 MX Master 3S 鼠标,¥699,5.0,3495.0,U0065,湖南,已完成
DD202401350,2024-12-04,天猫,P018,美的 1.5匹空调,2799,2.0,5598.0,U0169,海南,已发货
DD202401411,2024-12-11,,P013,戴尔 U2723QE 显示器,3499,5.0,17495.0,U0138,重庆,已完成
DD202402578,2024-09-10,抖音,P047,全棉时代 浴巾,79,1.0,79.0,U0063,黑龙江,已完成
DD202402009,2024-01-11,京东,P042,农夫山泉 矿泉水 ,¥36,3.0,108.0,U0148,新疆,已完成
DD202401408,20240321,抖音,P041,蒙牛 纯牛奶24盒,69.9,2.0,139.8,U0176,福建,已完成
DD202402006,2024-07-27,拼多多,P024,戴森 V12 吸尘器,3290,3.0,4935.0,U0012,四川,已完成
DD202400773,2024-12-10,拼多多,P035,欧莱雅 洗面奶,¥129,3.0,387.0,U0018,山东,已发货
DD202400233,2024-03-26,京东,P024,戴森 V12 吸尘器 ,3290,1.0,1645.0,U0122,陕西,已完成
DD202401239,2024-07-21,抖音,P013,戴尔 U2723QE 显示器,"3,499",-1.0,-3499.0,U0141,浙江,已退款
DD202401821,2024-04-16,天猫,P041,蒙牛 纯牛奶24盒,¥69.9,1.0,69.9,U0096,北京,已完成
DD202400080,2024/7/30,天猫,P043,星巴克 咖啡豆,128,5.0,640.0,U0088,甘肃,待发货
DD202402335,2024-06-19,天猫,P033,兰蔻 小黑瓶精华 ,¥760,-3.0,-2280.0,U0144,青海,已退款
DD202402587,2024-03-14,微信小程序,P011,罗技 MX Master 3S 鼠标,699,4.0,2796.0,U0138,山西,已完成
DD202402641,2024/3/18,天猫,P038,全棉时代 洗脸巾,49.9,4.0,199.6,U0126,江苏,已发货
DD202401154,2024-10-28,拼多多,P023,九阳破壁机,399,-3.0,-1197.0,U0018,宁夏,已退款
DD202400138,2024-03-30,拼多多,P013,戴尔 u2723qe 显示器,¥3499,3.0,10497.0,U0165,广东,待发货
DD202401669,2024/2/12,天猫,P006,Redmi K70,¥2499,2.0,4998.0,U0139,海南,已发货
DD202402079,2024-06-25,京东,P013,戴尔 U2723QE 显示器,3499,-3.0,-10497.0,U0064,山西,已退款
DD202402529,2024-12-03,京东,P026,小米电视 65寸,2999,1.0,2999.0,U0015,广西,已完成
DD202400807,2024-03-06,抖音,P047,全棉时代浴巾,¥79,4.0,316.0,U0057,福建,已完成
DD202400838,2024-01-18,拼多多,P026,小米电视 65寸,"2,999",3.0,8997.0,U0064,云南,已完成
DD202401773,2024-04-28,天猫,P048,公牛 插线板,¥49.9,2.0,99.8,U0165,广东,已发货
DD202401969,2024-10-01,天猫,P028,李宁 跑步鞋 ,¥399,2.0,798.0,U0041,上海,已完成
DD202402800,2024-04-03,天猫,P041,蒙牛 纯牛奶24盒,¥69.9,5.0,,U0035,安徽,已发货
DD202402979,2024-08-09,拼多多,P021,米家扫地机器人,1599,5.0,7995.0,U0007,浙江,已完成
DD202400189,2024-01-21,微信小程序,P043,星巴克 咖啡豆,128,-1.0,-128.0,U0178,河北,已退款
DD202402582,2024/3/8,拼多多,P033,兰蔻 小黑瓶精华,760,3.0,2280.0,U0074,天津,已发货
DD202402430,2024-03-23,微信小程序,P015,华为平板MatePad11,2199,4.0,,U0141,河北,已发货
DD202400049,2024-08-02,拼多多,P005,荣耀 Magic6 ,,2.0,,U0092,上海,已完成
DD202401738,2024-05-13,京东,P049,苏泊尔 炒锅,159,4.0,636.0,U0035,宁夏,已完成
DD202402161,2024/7/24,抖音,P017,得力 文件夹,¥15.9,3.0,47.7,U0107,吉林,已完成
DD202402160,2024-07-06,微信小程序,P023,九阳破壁机 ,399,4.0,1596.0,U0086,广东,已取消
DD202400998,2024-04-21,微信小程序,P005,荣耀 Magic6,"3,999",2.0,,U0105,江苏,已完成
DD202400137,2024-10-26,天猫,P003,华为Mate60Pro,6999,1.0,6999.0,U0017,内蒙古,已完成
DD202400730,2024-04-20,拼多多,P023,九阳破壁机,¥399,2.0,798.0,U0105,新疆,已完成
DD202402341,2024-02-17,拼多多,P025,海尔冰箱501L,¥3999,3.0,11997.0,U0198,贵州,已取消
DD202402322,2024-01-31,抖音,P007,AirPods Pro 2,¥1899,3.0,5697.0,U0013,福建,已取消
DD202400155,2024-06-16,京东,P026,小米电视 65寸,2999,0.0,,U0049,贵州,已完成
DD202402487,2024-02-27,天猫,P043,星巴克 咖啡豆 ,128,1.0,128.0,U0147,湖北,已完成
DD202400429,2024/12/4,京东,P017,得力 文件夹,15.9,2.0,31.8,U0107,江西,已发货
DD202402185,2024-12-26,天猫,P033,兰蔻小黑瓶精华,760,1.0,760.0,U0168,黑龙江,已完成
DD202400490,20241113,天猫,P007,AirPods Pro 2,1899,1.0,1899.0,U0073,吉林,已完成
DD202400657,2024-10-12,拼多多,P048,公牛 插线板,49.9,3.0,149.7,U0160,山西,已完成
DD202402936,20240809,抖音,P002,iPhone 15 Pro 256G,"8,999",,,U0022,四川,已完成
DD202400616,2024-08-06,京东,P042,农夫山泉矿泉水,36,2.0,72.0,U0037,宁夏,已发货
DD202400379,2024-09-07,拼多多,P050,宜家 收纳箱 ,69,2.0,69.0,U0157,辽宁,已发货
DD202400648,2024-04-11,拼多多,P020,格力电风扇,¥199,5.0,995.0,U0170,江苏,已完成
DD202401688,2024/9/13,京东,P016,得力 A4 打印纸,¥29.9,1.0,29.9,U0124,安徽,已完成
DD202402384,2024-12-08,拼多多,P019,海尔 10kg 滚筒洗衣机,"1,899",2.0,3798.0,U0003,甘肃,已完成
DD202402643,2024-04-02,京东,P031,波司登 羽绒服,¥1299,4.0,5196.0,U0152,湖北,已完成
DD202401818,2024-11-22,天猫,P036,云南白药 牙膏,¥39.9,-1.0,-39.9,U0096,江苏,已退款
DD202400471,2024-08-01,京东,P007,AirPods Pro 2,¥1899,1.0,1899.0,U0018,湖南,已完成
DD202402332,2024-02-08,微信小程序,P015,华为平板 MatePad 11,"2,199",2.0,4398.0,U0059,河北,待发货
DD202401235,2024-10-15,拼多多,,联想小新 Pro16 笔记本,5799,3.0,17397.0,U0086,黑龙江,已完成
DD202402689,2024-12-23,京东,P032,太平鸟 牛仔裤,259,2.0,518.0,U0166,广西,已完成
DD202402350,2024/5/29,天猫,P003,华为 Mate 60 Pro ,¥6999,2.0,13998.0,U0161,重庆,已发货
DD202401927,2024/9/24,拼多多,P006,Redmi K70,2499,4.0,9996.0,U0144,河南,已完成
DD202401081,20240315,抖音,P028,李宁 跑步鞋,¥399,2.0,798.0,U0077,江苏,已完成
DD202400942,2024/6/16,拼多多,P032,太平鸟牛仔裤,259,4.0,1036.0,U0056,内蒙古,已发货
DD202400769,2024-08-09,京东,P028,李宁 跑步鞋,¥399,1.0,399.0,U0001,重庆,已完成
DD202401574,2024-04-16,天猫,P033,兰蔻 小黑瓶精华,760,5.0,3800.0,U0126,福建,已完成
DD202400065,2024-04-24,微信小程序,P026,小米电视 65寸,¥2999,1.0,2999.0,U0051,吉林,已完成
DD202400354,2024-08-06,微信小程序,P027,优衣库 圆领T恤,79,4.0,,U0099,湖北,已发货
DD202400734,2024-08-13,拼多多,P026,小米电视 65寸,2999,4.0,11996.0,U0106,江苏,已取消
DD202401196,2024/12/23,京东,P046,网易严选 保温杯,99,2.0,198.0,U0064,宁夏,已完成
DD202402483,2024-06-07,微信小程序,P005,荣耀 Magic6,¥3999,4.0,15996.0,U0078,黑龙江,已完成
DD202400787,2024-03-03,拼多多,P040,三只松鼠 坚果礼盒,99,4.0,396.0,U0036,海南,已完成
DD202402970,2024-06-14,京东,P041,蒙牛 纯牛奶24盒,¥69.9,4.0,279.6,U0032,陕西,已完成
DD202402513,20240710,京东,P012,机械键盘 87键,¥199,5.0,995.0,U0165,海南,已完成
DD202401384,2024-03-09,天猫,P005,荣耀 Magic6,3999,5.0,19995.0,U0164,黑龙江,已发货
DD202401877,2024-01-20,京东,P044,良品铺子 零食大礼包,139,3.0,417.0,U0012,安徽,已完成
